Reference	ID	Tags	OrigWords	Occurrence	TWLink
13:2	tfrp	keyterm	הַ⁠קְּלָלָ֖ה	1	rc://*/tw/dict/bible/kt/curse
13:2	upcg	keyterm	לִ⁠בְרָכָֽה	1	rc://*/tw/dict/bible/kt/bless
13:3	e2fk	keyterm	הַ⁠תּוֹרָ֑ה	1	rc://*/tw/dict/bible/kt/lawofmoses
13:3	vq96	keyterm	מִ⁠יִּשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
13:4	sacz		וְ⁠לִ⁠פְנֵ֣י	1	rc://*/tw/dict/bible/other/face
13:4	t9bx	keyterm	הַ⁠כֹּהֵ֔ן	1	rc://*/tw/dict/bible/kt/priest
13:4	v7rn	keyterm	בֵּית	1	rc://*/tw/dict/bible/kt/temple
13:4	yt9r	keyterm	אֱלֹהֵ֑י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
13:5	ze3h		הַ⁠לְּבוֹנָ֜ה	1	rc://*/tw/dict/bible/other/frankincense
13:5	m3wr		הַ⁠דָּגָן֙	1	rc://*/tw/dict/bible/other/grain
13:5	ws6g		הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
13:5	n2qn		וְ⁠הַ⁠יִּצְהָ֔ר	1	rc://*/tw/dict/bible/other/oil
13:5	zc33	keyterm	מִצְוַת֙	1	rc://*/tw/dict/bible/kt/command
13:5	zj6q	name	הַ⁠לְוִיִּ֔ם	1	rc://*/tw/dict/bible/names/levite
13:5	ufhx		וְ⁠הַ⁠שֹּׁעֲרִ֑ים	1	rc://*/tw/dict/bible/other/gate
13:5	y5t8	keyterm	הַ⁠כֹּהֲנִֽים	1	rc://*/tw/dict/bible/kt/priest
13:6	ssun	name	בִּֽ⁠ירוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
13:6	n9bb	name	לְ⁠אַרְתַּחְשַׁ֤סְתְּא	1	rc://*/tw/dict/bible/names/artaxerxes
13:6	t9bz		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
13:6	pu59	name	בָּבֶל֙	1	rc://*/tw/dict/bible/names/babylon
13:6	vztr		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
13:6	veym		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
13:7	b8ch	name	לִֽ⁠ירוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
13:7	svtm	keyterm	בָ⁠רָעָ֗ה	1	rc://*/tw/dict/bible/kt/evil
13:7	nsr9		בְּ⁠חַצְרֵ֖י	1	rc://*/tw/dict/bible/other/courtyard
13:7	ppqx	keyterm	בֵּ֥ית	1	rc://*/tw/dict/bible/kt/temple
13:7	z77u	keyterm	הָ⁠אֱלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
13:8	zute	keyterm	וַ⁠יֵּ֥רַֽע	1	rc://*/tw/dict/bible/kt/evil
13:8	y3zf		בֵית	1	rc://*/tw/dict/bible/other/house
13:9	tgvd	keyterm	וַֽ⁠יְטַהֲר֖וּ	1	rc://*/tw/dict/bible/kt/purify
13:9	bd7u		וָ⁠אָשִׁ֣יבָ⁠ה	1	rc://*/tw/dict/bible/other/return
13:9	dgba	keyterm	בֵּ֣ית	1	rc://*/tw/dict/bible/kt/temple
13:9	cg3p	keyterm	הָ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
13:10	bdf5		וָ⁠אֵ֣דְעָ֔⁠ה	1	rc://*/tw/dict/bible/other/know
13:10	wavy	name	הַ⁠לְוִיִּ֖ם	1	rc://*/tw/dict/bible/names/levite
13:10	dj9k	name	הַ⁠לְוִיִּ֥ם	1	rc://*/tw/dict/bible/names/levite
13:11	x4mn		הַ⁠סְּגָנִ֔ים	1	rc://*/tw/dict/bible/other/ruler
13:11	fksq		נֶעֱזַ֣ב	1	rc://*/tw/dict/bible/other/forsaken
13:11	pzqb	keyterm	בֵּית	1	rc://*/tw/dict/bible/kt/temple
13:11	gscs	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
13:12	c9dp	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
13:12	z4ph		הַ⁠דָּגָ֛ן	1	rc://*/tw/dict/bible/other/grain
