Reference	ID	Tags	OrigWords	Occurrence	TWLink
5:27	nxsc		שָׁדֽוּד	1	rc://*/tw/dict/bible/other/waste
5:28	btug		בֹּשֵׁ֤שׁ	1	rc://*/tw/dict/bible/other/shame
5:28	h95k		מַרְכְּבוֹתָֽי⁠ו	1	rc://*/tw/dict/bible/other/chariot
5:29	sjyp		חַכְמ֥וֹת	1	rc://*/tw/dict/bible/other/wisemen
5:29	t7qn	keyterm	תַּעֲנֶ֑ינָּה	1	rc://*/tw/dict/bible/kt/testimony
5:29	e9uq	keyterm	תָּשִׁ֥יב	1	rc://*/tw/dict/bible/kt/restore
5:31	qwzs	keyterm	יֹאבְד֤וּ	1	rc://*/tw/dict/bible/kt/perish
5:31	zsck		אוֹיְבֶ֨י⁠ךָ֙	1	rc://*/tw/dict/bible/other/adversary
5:31	zdnu	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
5:31	pvsb	keyterm	וְ⁠אֹ֣הֲבָ֔י⁠ו	1	rc://*/tw/dict/bible/kt/love
5:31	qu8b		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
6:1	whtg	keyterm	בְנֵי	1	rc://*/tw/dict/bible/kt/son
6:1	shuk	keyterm	יִשְׂרָאֵ֛ל	1	rc://*/tw/dict/bible/kt/israel
6:1	se7n	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
6:1	nkxg	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
6:1	pvdz		בְּ⁠יַד	1	rc://*/tw/dict/bible/other/hand
6:2	k4bb		יַד	1	rc://*/tw/dict/bible/other/hand
6:2	gtpk	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
6:2	wpnu	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
6:2	j3rw	keyterm	יִשְׂרָאֵ֗ל	1	rc://*/tw/dict/bible/kt/israel
