Reference	ID	Tags	OrigWords	Occurrence	TWLink
2:12	mqns	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
2:12	cbj7	keyterm	ἐν Κυρίῳ	1	rc://*/tw/dict/bible/kt/inchrist
2:13	ry6w		ἄνεσιν	1	rc://*/tw/dict/bible/other/rest
2:13	jbzs	keyterm	πνεύματί	1	rc://*/tw/dict/bible/kt/spirit
2:13	gfj2	name	Τίτον	1	rc://*/tw/dict/bible/names/titus
2:13	xdkr	keyterm	ἀδελφόν	1	rc://*/tw/dict/bible/kt/brother
2:13	xvej	name	Μακεδονίαν	1	rc://*/tw/dict/bible/names/macedonia
2:14	z4gp	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
2:14	cgcu	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
2:14	e64z	keyterm	ἐν τῷ Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
2:14	w4ms		γνώσεως	1	rc://*/tw/dict/bible/other/know
2:15	ny8j	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
2:15	m3p4	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
2:15	a6dm	keyterm	σῳζομένοις	1	rc://*/tw/dict/bible/kt/save
2:15	g42x	keyterm	ἀπολλυμένοις	1	rc://*/tw/dict/bible/kt/perish
2:16	fnse		θανάτου	1	rc://*/tw/dict/bible/other/death
2:16	v4jv		θάνατον	1	rc://*/tw/dict/bible/other/death
2:16	z7sz	keyterm	ζωῆς	1	rc://*/tw/dict/bible/kt/life
2:16	pnk2	keyterm	ζωήν	1	rc://*/tw/dict/bible/kt/life
2:16	uzru	keyterm	ἱκανός	1	rc://*/tw/dict/bible/kt/worthy
2:17	us7b		ὡς	1	rc://*/tw/dict/bible/other/like
2:17	rrgr	keyterm	λόγον τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/wordofgod
2:17	utjj		ὡς	2	rc://*/tw/dict/bible/other/like
